id,node,status,type,p_specified,q_specified
4002,1,1,0,991551.9399726772,195076.70806929795
4003,2,1,0,1040467.0258911513,188292.96420119808
4004,3,1,0,914855.907895345,194641.06500476212
4005,4,1,0,968127.0689443935,184820.96412312659
4006,5,1,0,1070912.4591692768,206725.91152432834
4007,6,1,0,905158.2326979138,201606.3822843114
4008,7,1,0,930760.6373900344,200448.80546986655
4009,8,1,0,1054250.51187459,196522.14464260245
4010,9,1,0,1019372.9777371801,201857.55716236788
4011,10,1,0,1015521.171951604,199124.68538042632
4012,11,1,0,933406.3929716891,189664.57078051835
4013,12,1,0,1078809.86932339,209528.25949438786
4014,13,1,0,1096573.1677113073,182165.2030497756
4015,14,1,0,963314.4209040627,218371.50762122127
4016,15,1,0,987875.7621813343,204173.49785331363
4017,16,1,0,1013948.2878526478,185627.57612808584
4018,17,1,0,1046220.8597056489,182332.50393907633
4019,18,1,0,1007592.5782983814,202105.5113687253
4020,19,1,0,940369.6900804914,210016.96902140518
4021,20,1,0,1079235.3632500507,219162.71998230074
4022,21,1,0,905363.3872279262,192388.99627259633
4023,22,1,0,1084964.7626853026,182020.2162812075
4024,23,1,0,954405.0387167924,201335.54217335238
4025,24,1,0,1048039.4278749154,189122.25682229965
4026,25,1,0,960068.837562728,187781.5371691558
4027,26,1,0,988612.410865739,200173.8419866544
4028,27,1,0,1079845.3941401395,210830.1752175144
4029,28,1,0,1043069.0101207924,202906.790326292
4030,29,1,0,965716.0405137122,182803.0776123328
4031,30,1,0,951761.5210014366,187787.4903609663
4032,31,1,0,945579.4557559341,189070.9952471872
4033,32,1,0,986109.336309189,195228.59518671673
4034,33,1,0,967409.35252898,215249.50285953647
4035,34,1,0,940547.482915033,186546.14688774932
4036,35,1,0,915200.5789273215,216994.40621903638
4037,36,1,0,938869.2609082978,202890.71940212167
4038,37,1,0,974743.5638673428,202211.99002936063
4039,38,1,0,1028513.2677440759,213603.08119107393
4040,39,1,0,1001452.6065911147,193089.62846157546
4041,40,1,0,936215.984741371,204272.68085755283
4042,41,1,0,926400.8776695866,214232.2860922652
4043,42,1,0,905557.8975959889,213811.9936931429
4044,43,1,0,943849.3243734331,199514.3137614387
4045,44,1,0,1046104.1405745491,211366.67355581163
4046,45,1,0,980355.9578585254,199978.19035462805
4047,46,1,0,905914.5316256606,193761.04236851793
4048,47,1,0,952315.7695708112,195602.76296441333
4049,48,1,0,960178.6740639262,186389.59214600403
4050,49,1,0,1088346.0636795668,197171.1533740729
4051,50,1,0,1027560.5424086638,217070.4454478846
4052,51,1,0,1014494.7629700467,185079.9666019969
4053,52,1,0,1057716.2713715138,210986.56287895853
4054,53,1,0,980921.9480996621,201575.7449880606
4055,54,1,0,984977.2009338823,188969.77815479314
4056,55,1,0,1052584.342161536,209777.40105198638
4057,56,1,0,1029411.178382812,198225.6196221543
4058,57,1,0,992961.206535732,191937.7539371048
4059,58,1,0,953144.9181104474,213958.8558728805
4060,59,1,0,1071874.84448276,180613.7951179616
4061,60,1,0,1043921.2693729707,193196.88454796525
4062,61,1,0,1083869.4687394234,189684.80612692263
4063,62,1,0,967080.6278099618,209893.44377987887
4064,63,1,0,914819.872013753,208321.5618726224
4065,64,1,0,1034935.7647353341,192160.8658355836
4066,65,1,0,1042553.8637647947,216116.98816947508
4067,66,1,0,1060788.24415112,200713.69370584557
4068,67,1,0,926489.1004134287,215693.5693392851
4069,68,1,0,997943.6158857022,196315.10117003805
4070,69,1,0,1009550.6357138773,188541.90502750242
4071,70,1,0,967238.2315601202,209420.22172175915
4072,71,1,0,1012694.8764134132,210491.15420815285
4073,72,1,0,1052392.9204083954,210143.17593963828
4074,73,1,0,928837.7237304976,206008.05804595098
4075,74,1,0,996035.9850136717,182483.63809299283
4076,75,1,0,1067010.756502369,188788.60698608973
4077,76,1,0,902588.0554525917,205737.4754582785
4078,77,1,0,934421.0624468799,182468.26691323626
4079,78,1,0,1086754.18734595,185939.14395162955
4080,79,1,0,1004009.866327849,194691.9716603469
4081,80,1,0,908948.1195664674,192574.15075047396
4082,81,1,0,970094.0773310983,199737.50747914476
4083,82,1,0,1041346.9149001207,219999.11807122894
4084,83,1,0,1003714.2540097297,217710.1246803928
4085,84,1,0,1005490.1946829613,203747.2927033114
4086,85,1,0,927813.4058298103,202833.03189588696
4087,86,1,0,952112.4035264654,190961.93707168842
4088,87,1,0,986775.5312331207,206149.53071576325
4089,88,1,0,1023465.9439239289,192251.02596581983
4090,89,1,0,905750.3243874726,189761.86320494706
4091,90,1,0,990566.2095674359,216380.61707969074
4092,91,1,0,1022072.5698053769,215100.31698617036
4093,92,1,0,1018805.4886320393,197726.69744003762
4094,93,1,0,965716.3617539355,218803.72847688152
4095,94,1,0,995649.7419106399,194369.8675250743
4096,95,1,0,1081545.6395367524,212474.57436454063
4097,96,1,0,1017747.8943022162,202642.56937528957
4098,97,1,0,999470.1236934825,183852.70608983355
4099,98,1,0,1037499.4429331699,195021.34148565834
4100,99,1,0,903404.4552770494,209042.2274901084
4101,100,1,0,925861.4024947453,211916.66563494466
4102,101,1,0,951913.1152508807,203456.30485360586
4103,102,1,0,1013952.8238025332,187074.80714604113
4104,103,1,0,987807.4699843931,212761.50670401455
4105,104,1,0,1094395.9441178986,180726.60347494105
4106,105,1,0,929330.8366025585,204697.5828509142
4107,106,1,0,900502.621261013,210319.60069729382
4108,107,1,0,1016602.5817568238,206914.58160166044
4109,108,1,0,1024848.1788332668,203960.55159721573
4110,109,1,0,920482.4785014244,189408.98992751975
